"X","score","gapscore"
2019-06-19,0.798217481856842,0.73389714991495
2019-06-20,0.867853827537342,0.762544048677603
2019-06-21,0.791268657132505,0.730040095047677
2019-06-24,0.694539649818426,0.494557040346756
2019-06-25,0.571611891495603,0.295345078117068
2019-06-26,0.722726828357549,0.683778774128291
2019-06-27,0.797503830411487,0.708307992954683
2019-06-28,0.787725617126589,0.711424529253006
2019-07-01,0.842721555037117,0.656584286806409
2019-07-02,0.80172061372681,0.55252459846954
2019-07-03,0.69072047751946,0.670252342156279
2019-07-04,0.838191237450659,0.80163462676524
2019-07-05,0.842388863554405,0.76121159926975
2019-07-08,0.549499346673203,0.358069521680429
2019-07-09,0.619760394864655,0.347925362139639
2019-07-10,0.409885925683196,0.436124435789345
2019-07-11,0.393460381403954,0.406168769889813
2019-07-12,0.56250268204243,0.548896513045556
